file,bucket,object_path,public_url,bytes,sha256
center-stadium.webp,pes-assets,room-assets/v1.3.13/center-stadium.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/center-stadium.webp,78168,8247c37444eab4adfd3231195831b7908550cf9915244ede15846b05cd6d5458
emblems/ban_pick_bo3.webp,pes-assets,room-assets/v1.3.13/emblems/ban_pick_bo3.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/emblems/ban_pick_bo3.webp,5410,e512d5e23b05f269b2d6efd2ecc6af55483ec8dbd91bcd3cbaa9d5b61b6f6445
emblems/bo3.webp,pes-assets,room-assets/v1.3.13/emblems/bo3.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/emblems/bo3.webp,4766,39c12751a11d3c5015eb4acb605316294e529820aeba6b874422adc715c6c39f
emblems/home_away.webp,pes-assets,room-assets/v1.3.13/emblems/home_away.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/emblems/home_away.webp,3552,9295ea939ba13597b24233bb4a6c234a92871ec6f308d9dee95b6f2a897c8d1c
emblems/random3_pick1.webp,pes-assets,room-assets/v1.3.13/emblems/random3_pick1.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/emblems/random3_pick1.webp,8908,0bf81ea76fa580c3208d2d5d84e796d91b6623a5dbd624892d40c4d37f4b6ce2
emblems/rank_random.webp,pes-assets,room-assets/v1.3.13/emblems/rank_random.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/emblems/rank_random.webp,6608,4d5d06fc4f1b27a6428b532ec2a1253e8bae6a22994d988dc8f97eee8ca03afc
emblems/tactical_bo3.webp,pes-assets,room-assets/v1.3.13/emblems/tactical_bo3.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/emblems/tactical_bo3.webp,4680,8b0a0f25f487fcfdb61efffa1ff387255ada92ce3b9b395fc21cffd0e6aae3f7
light-effect-blue.webp,pes-assets,room-assets/v1.3.13/light-effect-blue.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/light-effect-blue.webp,17426,c7ce3c8463ba5ce71bf5715e632415f48ebb6dbf78e4acf10f18265383661d2f
light-effect-red.webp,pes-assets,room-assets/v1.3.13/light-effect-red.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/light-effect-red.webp,17100,21c0e844804687666d86b9c86c6c5c17d1b3c419f6c37380822f84299f78f2c3
modes/ban_pick_bo3.webp,pes-assets,room-assets/v1.3.13/modes/ban_pick_bo3.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/modes/ban_pick_bo3.webp,5410,e512d5e23b05f269b2d6efd2ecc6af55483ec8dbd91bcd3cbaa9d5b61b6f6445
modes/bo3.webp,pes-assets,room-assets/v1.3.13/modes/bo3.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/modes/bo3.webp,4766,39c12751a11d3c5015eb4acb605316294e529820aeba6b874422adc715c6c39f
modes/home_away.webp,pes-assets,room-assets/v1.3.13/modes/home_away.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/modes/home_away.webp,3552,9295ea939ba13597b24233bb4a6c234a92871ec6f308d9dee95b6f2a897c8d1c
modes/random3_pick1.webp,pes-assets,room-assets/v1.3.13/modes/random3_pick1.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/modes/random3_pick1.webp,3796,395b2585da00a870b45782c8432d18029779b38df9c3db173f9fc8b5090a0ac1
modes/rank_random.webp,pes-assets,room-assets/v1.3.13/modes/rank_random.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/modes/rank_random.webp,6608,4d5d06fc4f1b27a6428b532ec2a1253e8bae6a22994d988dc8f97eee8ca03afc
modes/tactical_bo3.webp,pes-assets,room-assets/v1.3.13/modes/tactical_bo3.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/modes/tactical_bo3.webp,4680,8b0a0f25f487fcfdb61efffa1ff387255ada92ce3b9b395fc21cffd0e6aae3f7
parsec-logo.webp,pes-assets,room-assets/v1.3.13/parsec-logo.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/parsec-logo.webp,1584,9b76fcd4abf550c2bc6554c928aa1731c17e9ee21dd08110e9d554cc6131d00c
pes-arena-room-logo.webp,pes-assets,room-assets/v1.3.13/pes-arena-room-logo.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/pes-arena-room-logo.webp,16060,91d7b2b6f0e7587e6f7ac041ef99bea3fb0fb44e4670382ae7fa64ff9bf74ac1
room-texture-blue.webp,pes-assets,room-assets/v1.3.13/room-texture-blue.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/room-texture-blue.webp,68716,38d823ad0df6938c4a315e0ae0c78f959c1cbb1185704688e94e9a547e0a7ff8
share-link.webp,pes-assets,room-assets/v1.3.13/share-link.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/share-link.webp,1322,2b82090a018f1957316f50daeead1c7d2eb1e47c4614387068deb8cb965ba509
stadium-blue.webp,pes-assets,room-assets/v1.3.13/stadium-blue.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/stadium-blue.webp,67392,ac66e91227a2906177fb45b4d5c3036024910207b45bf4a8d2d510e621dda5cf
stadium-red.webp,pes-assets,room-assets/v1.3.13/stadium-red.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/stadium-red.webp,72676,b427538c6a113e97cb876a6344d9c0747b2b45c6cab5c0eb2a08ff1f5b4658d7
vs-gold-emblem.webp,pes-assets,room-assets/v1.3.13/vs-gold-emblem.webp,https://wlnvdfghatgeygecwrqb.supabase.co/storage/v1/object/public/pes-assets/room-assets/v1.3.13/vs-gold-emblem.webp,19942,1b80f970e437315b4b75bf7982148845f376d8b11a196ad6d214f5f0509a9abd
